Mod:Item:MetaData, Localized Name
gregtech:ore_basaltic_mineral_sand_0:1, Nether Basaltic Mineral Sand Ore
gregtech:ore_basaltic_mineral_sand_0:2, End Basaltic Mineral Sand Ore
gcym:unique_casing:0, Crushing Wheels
gcym:unique_casing:1, Slicing Blades
gcym:unique_casing:2, Electrolytic Cell
gcym:unique_casing:3, Heat Vent
gcym:unique_casing:4, Molybdenum Disilicide Coil Block
gcym:large_multiblock_casing:0, Secure Maceration Casing
gcym:large_multiblock_casing:1, High Temperature Smelting Casing
gcym:large_multiblock_casing:2, Large-Scale Assembler Casing
gcym:large_multiblock_casing:3, Stress Proof Casing
gcym:large_multiblock_casing:4, Corrosion Proof Casing
gcym:large_multiblock_casing:5, Vibration-Safe Casing
gcym:large_multiblock_casing:6, Watertight Casing
gcym:large_multiblock_casing:7, Shock Proof Cutting Casing
gcym:large_multiblock_casing:8, Nonconducting Casing
gcym:large_multiblock_casing:9, Reaction-Safe Mixing Casing
gcym:large_multiblock_casing:10, Laser-Safe Engraving Casing
gcym:large_multiblock_casing:11, Atomic Casing
gcym:large_multiblock_casing:12, Industrial Steam Casing
icbmclassic:grenade:5, Anvil Grenade
icbmclassic:grenade:12, Colorful Grenade
icbmclassic:grenade:6, Repulsive Grenade
icbmclassic:grenade:7, Attractive Grenade
icbmclassic:grenade:2, Incendiary Grenade
icbmclassic:grenade:3, Debilitation Grenade
icbmclassic:grenade:0, Conventional Grenade
icbmclassic:grenade:1, Shrapnel Grenade
icbmclassic:grenade:4, Chemical Grenade
icbmclassic:grenade:14, Smoke Marking Grenade
icbmclassic:bombcart:5, Anvil Minecart
icbmclassic:bombcart:6, Repulsive Minecart
icbmclassic:bombcart:7, Attractive Minecart
icbmclassic:bombcart:10, Sonic Minecart
icbmclassic:bombcart:22, Antimatter Minecart
icbmclassic:bombcart:2, Incendiary Minecart
icbmclassic:bombcart:23, Red Matter Minecart
icbmclassic:bombcart:8, Fragmentation Minecart
icbmclassic:bombcart:11, Breaching Minecart
icbmclassic:bombcart:13, Thermobaric Minecart
icbmclassic:bombcart:17, Exothermic Minecart
icbmclassic:bombcart:1, Shrapnel Minecart
icbmclassic:bombcart:20, Ender Minecart
icbmclassic:bombcart:16, EMP Minecart
icbmclassic:bombcart:18, Endothermic Minecart
icbmclassic:bombcart:12, Colorful Minecart
icbmclassic:bombcart:9, Contagious Minecart
icbmclassic:bombcart:3, Debilitation Minecart
icbmclassic:bombcart:15, Nuclear Minecart
icbmclassic:bombcart:0, Explosive Cart
icbmclassic:bombcart:19, Anti-Gravitational Minecart
icbmclassic:bombcart:4, Chemical Minecart
icbmclassic:bombcart:14, Smoke Marking Minecart
icbmclassic:poisonpowder, Poison Powder
icbmclassic:sulfurdust, Organic Sulfur
icbmclassic:saltpeter, Saltpeter
icbmclassic:saltpeter_ball, Saltpeter Starter
icbmclassic:antidote, Antidote
icbmclassic:defuser, Defuse Kit
icbmclassic:radargun:0, Laser Range Finder
icbmclassic:remotedetonator:0, Remote Detonator
icbmclassic:laserdetonator:0, Laser Designator
icbmclassic:rocketlauncher, Rocket Launcher
icbmclassic:explosive_missile:5, Anvil Missile
icbmclassic:explosive_missile:6, Repulsive Missile
icbmclassic:explosive_missile:7, Attractive Missile
icbmclassic:explosive_missile:10, Sonic Missile
icbmclassic:explosive_missile:22, Antimatter Missile
icbmclassic:explosive_missile:27, Cluster Missile
icbmclassic:explosive_missile:2, Incendiary Missile
icbmclassic:explosive_missile:23, Red Matter Missile
icbmclassic:explosive_missile:8, Fragmentation Missile
icbmclassic:explosive_missile:11, Breaching Missile
icbmclassic:explosive_missile:13, Thermobaric Missile
icbmclassic:explosive_missile:17, Exothermic Missile
icbmclassic:explosive_missile:1, Shrapnel Missile
icbmclassic:explosive_missile:20, Ender Missile
icbmclassic:explosive_missile:16, EMP Missile
icbmclassic:explosive_missile:18, Endothermic Missile
icbmclassic:explosive_missile:12, Colorful Missile
icbmclassic:explosive_missile:9, Contagious Missile
icbmclassic:explosive_missile:3, Debilitation Missile
icbmclassic:explosive_missile:15, Nuclear Missile
icbmclassic:explosive_missile:0, Conventional Missile
icbmclassic:explosive_missile:19, Anti-Gravitational Missile
icbmclassic:explosive_missile:4, Chemical Missile
icbmclassic:explosive_missile:14, Smoke Marking Missile
icbmclassic:explosive_missile:24, Missile Module
icbmclassic:explosive_missile:27, Cluster Missile
icbmclassic:explosive_missile:27, Cluster Missile
icbmclassic:explosive_missile:27, Cluster Missile
icbmclassic:bomblet, item.icbmclassic:bomblet.name
icbmclassic:surface_to_air_missile, Surface to Air Missile
icbmclassic:parachute:0, item.icbmclassic:parachute.name
icbmclassic:glasspressureplate, Glass Pressure Plate
icbmclassic:glassbutton, Glass Button
icbmclassic:spikes:0, Spikes
icbmclassic:spikes:1, Poison Spikes
icbmclassic:spikes:2, Flammable Spikes
icbmclassic:concrete:0, Concrete
icbmclassic:concrete:1, Compact Concrete
icbmclassic:concrete:2, Reinforced Concrete
icbmclassic:reinforcedglass, Reinforced Glass
icbmclassic:explosives:5, Anvil Explosives
icbmclassic:explosives:6, Repulsive Explosives
icbmclassic:explosives:7, Attractive Explosives
icbmclassic:explosives:10, Sonic Explosives
icbmclassic:explosives:22, Antimatter Explosives
icbmclassic:explosives:2, Incendiary Explosives
icbmclassic:explosives:23, Red Matter Explosives
icbmclassic:explosives:8, Fragmentation Explosives
icbmclassic:explosives:11, Breaching Explosives
icbmclassic:explosives:13, Thermobaric Explosives
icbmclassic:explosives:17, Exothermic Explosives
icbmclassic:explosives:1, Shrapnel Explosives
icbmclassic:explosives:20, Ender Explosives
icbmclassic:explosives:16, EMP Explosives
icbmclassic:explosives:18, Endothermic Explosives
icbmclassic:explosives:12, Colorful Explosives
icbmclassic:explosives:9, Contagious Explosives
icbmclassic:explosives:3, Debilitation Explosives
icbmclassic:explosives:15, Nuclear Explosives
icbmclassic:explosives:0, Condensed Explosives
icbmclassic:explosives:19, Anti-Gravitational Explosives
icbmclassic:explosives:4, Chemical Explosives
icbmclassic:explosives:14, Smoke Marking Explosives
icbmclassic:emptower:0, EMP Tower
icbmclassic:emptower:1, EMP Tower Extender
icbmclassic:radarstation, Radar Station
icbmclassic:launcherframe, Launcher Frame
icbmclassic:launcherbase, Launcher Pad
icbmclassic:launcher_connector, Launcher Connector
icbmclassic:launcherscreen, Launcher Screen
icbmclassic:cruiselauncher, Cruise Launcher
icbmclassic:ingot:0, Steel Ingot
icbmclassic:ingot:1, Copper Ingot
icbmclassic:clump:0, Coal Encased Iron
icbmclassic:plate:0, Steel Plate
icbmclassic:plate:1, Iron Plate
icbmclassic:circuit:0, Basic Circuit
icbmclassic:circuit:1, Advanced Circuit
icbmclassic:circuit:2, Elite Circuit
icbmclassic:wire:0, Copper Wire
icbmclassic:wire:1, Gold Wire
icbmclassic:battery:0, Battery
modularforcefieldsystem:forcicium, Forcicium
modularforcefieldsystem:access_card, MFFS Card: Access
modularforcefieldsystem:upgrade_capacity, Capacitor Upgrade: Capacity
modularforcefieldsystem:upgrade_range, Capacitor Upgrade: Range
modularforcefieldsystem:datalink_card, MFFS Card: Data-Link
modularforcefieldsystem:empty_card, MFFS Card: Empty
modularforcefieldsystem:personal_id, MFFS Card: ID
modularforcefieldsystem:power_card, MFFS Card: Infinite Power
modularforcefieldsystem:powerlink_card, MFFS Card: Power Link
modularforcefieldsystem:securitylink_card, MFFS Card: Security Link
modularforcefieldsystem:extractor_upgrade_booster, Extractor Upgrade: Booster
modularforcefieldsystem:forcepower_crystal:1, Force Power Crystal
modularforcefieldsystem:forcepower_crystal:101, Force Power Crystal
modularforcefieldsystem:forcicium_cell:1, Forcicium Cell
modularforcefieldsystem:forcicium_cell:100, Forcicium Cell
modularforcefieldsystem:projector_distance, Projector Upgrade: Field Distance
modularforcefieldsystem:projector_strength, Projector Upgrade: Field Strength
modularforcefieldsystem:projector_focus_matrix, Projector Upgrade: Focus Matrix
modularforcefieldsystem:module_advcube, Projector Module: Advanced Cube
modularforcefieldsystem:module_containment, Projector Module: Containment
modularforcefieldsystem:module_cube, Projector Module: Cube
modularforcefieldsystem:module_deflector, Projector Module: Deflector
modularforcefieldsystem:module_diagonal_wall, Diagnonal Wall Module
modularforcefieldsystem:module_sphere, Projector Module: Sphere
modularforcefieldsystem:module_tube, Projector Module: Tube
modularforcefieldsystem:module_wall, Projector Module: Wall
modularforcefieldsystem:multitool_debugger:0, Multi-Tool: Debugger
modularforcefieldsystem:multitool_debugger:1, Multi-Tool: Debugger
modularforcefieldsystem:multitool_transporter:0, Multi-Tool: Field Transporter
modularforcefieldsystem:multitool_transporter:1, Multi-Tool: Field Transporter
modularforcefieldsystem:multitool_id_writer:0, Multi-Tool: ID Writer
modularforcefieldsystem:multitool_id_writer:1, Multi-Tool: ID Writer
modularforcefieldsystem:multitool_switch:0, Multi-Tool: Switch
modularforcefieldsystem:multitool_switch:1, Multi-Tool: Switch
modularforcefieldsystem:multitool_wrench:0, Multi-Tool: Wrench
modularforcefieldsystem:multitool_wrench:1, Multi-Tool: Wrench
modularforcefieldsystem:option_block_breaker, Projector Option: Cutter
modularforcefieldsystem:option_camoflage, Projector Option: Camoflage
modularforcefieldsystem:option_defense_station, Projector Option: Defence Station
modularforcefieldsystem:option_field_fusion, Projector Option: Field Fusion
modularforcefieldsystem:option_field_manipulator, Projector Option: Dome
modularforcefieldsystem:option_field_jammer, Projector Option: Forcefield Jammer
modularforcefieldsystem:option_mob_defense, Projector Option: Mob Killer
modularforcefieldsystem:option_sponge, Projector Option: Sponge
modularforcefieldsystem:option_touch_damage, Projector Option: Zapper
modularforcefieldsystem:option_light, Projector Option: Light
modularforcefieldsystem:adv_security, MFFS Security Station
modularforcefieldsystem:area_defense, MFFS Defense Station
modularforcefieldsystem:capacitor, MFFS Capacitor
modularforcefieldsystem:control_system, MFFS Control System
modularforcefieldsystem:extractor, MFFS Extractor
modularforcefieldsystem:force_field, MFFS Field
modularforcefieldsystem:monazit_ore, Monazit Ore
modularforcefieldsystem:projector, MFFS Projector
modularforcefieldsystem:security_storage, MFFS Secure Storage
powersuits:powerarmor_head, Power Armor Helmet
powersuits:powerarmor_torso, Power Armor Chestplate
powersuits:powerarmor_legs, Power Armor Leggings
powersuits:powerarmor_feet, Power Armor Boots
powersuits:power_fist, Power Fist
powersuits:powerarmorcomponent:0, Wiring
powersuits:powerarmorcomponent:1, Solenoid
powersuits:powerarmorcomponent:2, Servo Motor
powersuits:powerarmorcomponent:3, Glider Wing
powersuits:powerarmorcomponent:4, Ion Thruster
powersuits:powerarmorcomponent:5, LV Capacitor
powersuits:powerarmorcomponent:6, MV Capacitor
powersuits:powerarmorcomponent:7, HV Capacitor
powersuits:powerarmorcomponent:8, EV Capacitor
powersuits:powerarmorcomponent:9, Parachute
powersuits:powerarmorcomponent:10, Iron Plating
powersuits:powerarmorcomponent:11, Diamond Plating
powersuits:powerarmorcomponent:12, Force Field Emitter
powersuits:powerarmorcomponent:13, Hologram Emitter
powersuits:powerarmorcomponent:14, Carbon Myofiber
powersuits:powerarmorcomponent:15, Control Circuit
powersuits:powerarmorcomponent:16, Myofiber Gel
powersuits:powerarmorcomponent:17, Artificial Muscle
powersuits:powerarmorcomponent:18, Solar Panel
powersuits:powerarmorcomponent:19, Magnet
powersuits:powerarmorcomponent:20, Computer Chip
powersuits:powerarmorcomponent:21, Insulated Rubber Hose
powersuits:tinkertable, Power Armor Tinker Table
powersuits:luxcapacitor, Lux Capacitor
questbook:itemquestbook, Quest Book
srparasites:ada_summoner_drop, Summoner Core
srparasites:ada_yelloweye_drop, Yelloweye Bone
srparasites:ada_manducater_drop, Manducater Orb
srparasites:ada_reeker_drop, Reeker Fang
srparasites:ada_longarms_drop, Longarm Armor Fragment
srparasites:ada_bolster_drop, Bolster Husk
srparasites:ada_arachnida_drop, Arachnida Claw
srparasites:ada_devourer_drop, Devourer Tentacle
srparasites:assimilated_flesh, Infected Flesh
srparasites:beckon_drop, Beckon Membrane
srparasites:dispatcher_drop, Dispatcher Membrane
srparasites:itemtab, NULL
srparasites:itemthrow, Quench
srparasites:evclock, Bloody Clock
srparasites:dried_tendons, Dried Tendons
srparasites:hardened_bone_handle, Hardened Bone Handle
srparasites:infectious_blade_fragment, Infectious Blade Fragment
srparasites:living_core, Living Core
srparasites:vile_shell, Vile Shell
srparasites:bone, Strange Bone
srparasites:lurecomponent1, Rupter Viscera
srparasites:lurecomponent2, Diseased Heart
srparasites:lurecomponent3, Altered Tendons
srparasites:lurecomponent4, Toxic Lung
srparasites:lurecomponent5, Noxious Brain
srparasites:lurecomponent6, Essential Segment
srparasites:itemmobspawner_dorpa, Spawn Assimilated Big Spider
srparasites:itemmobspawner_infbear, Spawn Assimilated Bear
srparasites:itemmobspawner_infhuman, Spawn Assimilated Human
srparasites:itemmobspawner_infhumanhead, Spawn Walking Head (Human)
srparasites:itemmobspawner_infenderman, Spawn Assimilated Enderman 
srparasites:itemmobspawner_infendermanhead, Spawn Walking Head (Enderman)
srparasites:itemmobspawner_infcow, Spawn Assimilated Cow
srparasites:itemmobspawner_infcowhead, Spawn Walking Head (Cow)
srparasites:itemmobspawner_infsheep, Spawn Assimilated Sheep
srparasites:itemmobspawner_infsheephead, Spawn Walking Head (Sheep)
srparasites:itemmobspawner_infwolf, Spawn Assimilated Wolf
srparasites:itemmobspawner_infwolfhead, Spawn Walking Head (Wolf)
srparasites:itemmobspawner_infpig, Spawn Assimilated Pig
srparasites:itemmobspawner_infpighead, Spawn Walking Head (Pig)
srparasites:itemmobspawner_infvillager, Spawn Assimilated Villager
srparasites:itemmobspawner_infvillagerhead, Spawn Walking Head (Villager)
srparasites:itemmobspawner_inhoos, Spawn Incomplete Form (Small)
srparasites:itemmobspawner_inhoom, Spawn Incomplete Form (Medium)
srparasites:itemmobspawner_infhorse, Spawn Assimilated Horse
srparasites:itemmobspawner_infhorsehead, Spawn Walking Head (Horse)
srparasites:itemmobspawner_infplayer, Spawn Assimilated Adventurer
srparasites:itemmobspawner_infplayerhead, Spawn Walking Head (Adventurer)
srparasites:itemmobspawner_infdragone, Spawn Assimilated Ender Dragon
srparasites:itemmobspawner_infdragonehead, Spawn Walking Head (Ender Dragon)
srparasites:itemmobspawner_host, Spawn Host
srparasites:itemmobspawner_hostii, Spawn Herd
srparasites:itemmobspawner_heed, Spawn Heed
srparasites:itemmobspawner_cruxa, Spawn Crux
srparasites:itemmobspawner_mes, Spawn Thrall
srparasites:itemmobspawner_lesh, Spawn Moving Flesh
srparasites:itemmobspawner_shyco, Spawn Primitive Longarms
srparasites:itemmobspawner_canra, Spawn Primitive Summoner
srparasites:itemmobspawner_nogla, Spawn Primitive Reeker
srparasites:itemmobspawner_hull, Spawn Primitive Manducater
srparasites:itemmobspawner_emana, Spawn Primitive Yelloweye
srparasites:itemmobspawner_bano, Spawn Primitive Bolster
srparasites:itemmobspawner_ranrac, Spawn Primitive Arachnida
srparasites:itemmobspawner_lum, Spawn Primitive Devourer
srparasites:itemmobspawner_shycoadapted, Spawn Adapted Longarms
srparasites:itemmobspawner_canraadapted, Spawn Adapted Summoner
srparasites:itemmobspawner_noglaadapted, Spawn Adapted Reeker
srparasites:itemmobspawner_hulladapted, Spawn Adapted Manducater
srparasites:itemmobspawner_emanaadapted, Spawn Adapted Yelloweye
srparasites:itemmobspawner_banoadapted, Spawn Adapted Bolster
srparasites:itemmobspawner_ranracadapted, Spawn Adapted Arachnida
srparasites:itemmobspawner_lodo, Spawn Buglin
srparasites:itemmobspawner_mudo, Spawn Rupter
srparasites:itemmobspawner_nuuh, Spawn Mangler
srparasites:itemmobspawner_rathol, Spawn Heavy Carrier
srparasites:itemmobspawner_buthol, Spawn Flying Carrier
srparasites:itemmobspawner_anged, Spawn Vigilante
srparasites:itemmobspawner_venkrol, Spawn Beckon Stage I
srparasites:itemmobspawner_venkrolsii, Spawn Beckon Stage II
srparasites:itemmobspawner_venkrolsiii, Spawn Beckon Stage III
srparasites:itemmobspawner_venkrolsiv, Spawn Beckon Stage IV
srparasites:itemmobspawner_tonro, Spawn Kyphosis
srparasites:itemmobspawner_unvo, Spawn Sentry 
srparasites:itemmobspawner_nak, Spawn Seizer
srparasites:itemmobspawner_dod, Spawn Dispatcher Stage I
srparasites:itemmobspawner_dodsii, Spawn Dispatcher Stage II
srparasites:itemmobspawner_dodsiii, Spawn Dispatcher Stage III
srparasites:itemmobspawner_dodsiv, Spawn Dispatcher Stage IV
srparasites:itemmobspawner_alafha, Spawn Overseer
srparasites:itemmobspawner_ganro, Spawn Warden
srparasites:itemmobspawner_omboo, Spawn Light Bomber
srparasites:itemmobspawner_esor, Spawn Marauder
srparasites:itemmobspawner_orch, Spawn Monarch 
srparasites:itemmobspawner_flog, Spawn Grunt
srparasites:itemmobspawner_jinjo, Spawn Heavy Bomber
srparasites:itemmobspawner_pheon, Spawn Haunter
srparasites:itemmobspawner_vesta, Spawn Colony Carrier
srparasites:itemmobspawner_lencia, Spawn Bogle
srparasites:itemmobspawner_elvia, Spawn Wraith
srparasites:itemmobspawner_oronco, Spawn Ancient Dreadnaut
srparasites:itemmobspawner_terla, Spawn Ancient Overlord
srparasites:itemmobspawner_pod, Spawn Pod
srparasites:weapon_scythe, Living Scythe
srparasites:weapon_scythe_sentient, Sentient Greatscythe
srparasites:weapon_axe, Living Axe
srparasites:weapon_axe_sentient, Sentient Greataxe
srparasites:weapon_sword, Living Sword
srparasites:weapon_sword_sentient, Sentient Greatsword
srparasites:weapon_cleaver, Living Cleaver
srparasites:weapon_cleaver_sentient, Sentient Greatcleaver
srparasites:weapon_bow, Living Bow
srparasites:weapon_bow_sentient, Sentient Greatbow
srparasites:armor_helm, Living Helm
srparasites:armor_chest, Living Chest
srparasites:armor_pants, Living Pants
srparasites:armor_boots, Living Boots
srparasites:armor_helm_sentient, Sentient Helm
srparasites:armor_chest_sentient, Sentient Chest
srparasites:armor_pants_sentient, Sentient Pants
srparasites:armor_boots_sentient, Sentient Boots
srparasites:infestedstain, Infested Dirt
srparasites:infestremain, Infested Residue
srparasites:infestedtrunk, Infested Log
srparasites:infestedrubble, Infested Stone
srparasites:infestedbush:0, Infested Veins
srparasites:infestedbush:1, Infested Veins
srparasites:infestedbush:2, Infested Veins
srparasites:infestedbush:3, Infested Veins
srparasites:infestedbush:4, Infested Veins
srparasites:infestedbush:5, Infested Veins
srparasites:biomeheart, Hive Core
srparasites:colonyheart, Parasitic Colony Core
srparasites:biomepurifier, Biome Purifier
srparasites:parasitebush:0, Capillary Net
srparasites:parasitebush:1, Nerve Ringlet
srparasites:parasitebush:2, Parasitic Vesicle
srparasites:parasitebush:3, Terminal Blinder
srparasites:parasitebush:4, Small Incisor
srparasites:parasitecanister:0, Bladder Sac
srparasites:parasitecanister:1, Vacuous Cyst
srparasites:parasitecanister:2, Grotesque Lump
srparasites:parasitecanister:3, Sac of Flesh
srparasites:parasitetrunk:0, Bruisewood Log
srparasites:parasitetrunk:1, Bruisewood Log
srparasites:parasitetrunk:2, Bruisewood Log
srparasites:parasitestain:0, Hivesoil
srparasites:parasitestain:1, Visceral Mud
srparasites:parasitestain:2, Flesh Chunk
srparasites:parasitestain:3, Compressed Arteries
srparasites:parasiterubble:0, Concentrated Flesh Chunk
srparasites:parasiterubble:1, Fortified Bone
srparasites:parasiterubble:2, Hivestone
srparasites:parasitestructure, Parasitic Colony Incomplete Structure
srparasites:parasitethin, Parasitic Thin Log
srparasites:parasitesapling:0, Veinwood Sapling
srparasites:parasitesapling:1, Eyesore Sapling
srparasites:parasitesapling:2, Darkwood Sapling
srparasites:parasitemouth, Maw
srparasites:parasiterubbledense:0, Compressed Hivestone
srparasites:parasiterubbledense:1, Reinforced Hivestone
srparasites:parasiterubbledense:2, Parasitic Compressed Colony Stone
srparasites:parasiterubble_bonestairs, Fortified Bone
srparasites:parasitestain_fleshstairs, Flesh Chunk
srparasites:parasiterubble_slabhalf:0, Fortified Bone
srparasites:parasitetendril, Parasitic Tendril
srparasites:parasitefog, Fog
srparasites:srpweb:0, Web
srparasites:srpweb:1, Web
srparasites:srpweb:2, Web
srparasites:evolutionlure:0, Lure (Weakened)
srparasites:evolutionlure:1, Lure (Faint)
srparasites:evolutionlure:2, Lure (Slender)
srparasites:evolutionlure:3, Lure (Stable)
srparasites:evolutionlure:4, Lure (Substantial)
srparasites:evolutionlure:5, Lure (Concentrated)
srparasites:evolutionlure:6, Lure (Concentrated+)
srparasites:evolutionlure:7, Lure (Concentrated++)
srparasites:tunnel, Tunnel
srparasites:gore:0, Assimilated Remains
srparasites:gore:1, Assimilated Remains
srparasites:gore:2, Primitive Remains
srparasites:gore:3, Primitive Remains
srparasites:gore:4, Adapted Remains
srparasites:gore:5, Adapted Remains
srparasites:gore:6, Pure Remains
srparasites:gore:7, Pure Remains
srparasites:gore:8, Assimilated Remains
srparasites:gore:9, Primitive Remains
srparasites:gore:10, Adapted Remains
srparasites:gore:11, Pure Remains
srparasites:canisteractive, Gluttonous Cyst
srparasites:dispatchern, Dispatcher Nidus
videoplayer:tv_block, TV
vs_world:valkyrium_ore, Valkyrium Ore
vs_world:valkyrium_crystal, Valkyrium Crystal
vs_control:relay_wire, Relay Wire
vs_control:vanishing_wire, Vanishing Wire
vs_control:vs_wrench, VS Wrench
vs_control:physics_core, Physics Core
vs_control:physics_infuser, Physics Infuser
vs_control:physics_infuser_creative, Creative Physics Infuser
vs_control:physics_infuser_dummy, Dummy Physics Infuser
vs_control:basic_engine, Basic Engine
vs_control:advanced_engine, Advanced Engine
vs_control:elite_engine, Elite Engine
vs_control:ultimate_engine, Ultimate Engine
vs_control:redstone_engine, Redstone Engine
vs_control:compacted_valkyrium, Compacted Valkyrium
vs_control:ship_helm, Ship Helm
vs_control:ship_helm_wheel, tile.ship_helm_wheel.name
vs_control:speed_telegraph, Speed Telegraph
vs_control:dummy_telegraph, Dummy Telegraph
vs_control:network_relay, Network Relay
vs_control:network_display, Network Display
vs_control:gyroscope_stabilizer, Ship Gyroscope Stabilizer
vs_control:gyroscope_dampener, Ship Gyroscope Dampener
vs_control:lift_valve, Lift Valve
vs_control:lift_lever, Lift Lever
vs_control:valkyrium_compressor_part, Valkyrium Compressor Part
vs_control:valkyrium_engine_part, Valkyrium Engine Part
vs_control:rudder_part, Rudder Part
vs_control:giant_propeller_part, Giant Propeller Part
vs_control:rotation_axle, Rotation Axle
vs_control:gearbox, Gearbox
matteroverdrive:dilithium_crystal, Dilithium Crystal
matteroverdrive:tritanium_ingot, Tritanium Ingot
matteroverdrive:tritanium_nugget, Tritanium Nugget
matteroverdrive:tritanium_dust, Tritanium Dust
matteroverdrive:tritanium_plate, Tritanium Plate
matteroverdrive:matter_dust, Matter Dust
matteroverdrive:matter_dust_refined, Refined Matter Dust
matteroverdrive:android_pill:0, Red Pill
matteroverdrive:android_pill:1, Blue Pill
matteroverdrive:android_pill:2, Yellow Pill
matteroverdrive:emergency_ration, Emergency Ration
matteroverdrive:earl_gray_tea, Tea. Earl Grey. Hot.
matteroverdrive:romulan_ale, Romulan Ale
matteroverdrive:battery, Battery
matteroverdrive:hc_battery, High Capacity Battery
matteroverdrive:creative_battery, Creative Battery
matteroverdrive:matter_container, item.matteroverdrive.matter_container.name
matteroverdrive:me_conversion_matrix, Matter-Energy Conversion Matrix
matteroverdrive:h_compensator, Heisenberg Compensator
matteroverdrive:integration_matrix, Integration Matrix
matteroverdrive:machine_casing, Machine Casing
matteroverdrive:s_magnet, Superconductor Magnet
matteroverdrive:isolinear_circuit:0, Isolinear Circuit Mk1
matteroverdrive:isolinear_circuit:1, Isolinear Circuit Mk2
matteroverdrive:isolinear_circuit:2, Isolinear Circuit Mk3
matteroverdrive:isolinear_circuit:3, Isolinear Circuit Mk4
matteroverdrive:matter:0, item.matteroverdrive.matter.name
matteroverdrive:matter:1, item.matteroverdrive.matter.name
matteroverdrive:matter:2, item.matteroverdrive.matter.name
matteroverdrive:forcefield_emitter, Force Field Emitter
matteroverdrive:weapon_handle, Weapon Handle
matteroverdrive:weapon_receiver, Weapon Receiver
matteroverdrive:plasma_core, Plasma Core
matteroverdrive:phaser, Phaser
matteroverdrive:phaser_rifle, Phaser Rifle
matteroverdrive:plasma_shotgun, Plasma Shotgun
matteroverdrive:ion_sniper, Ion Sniper
matteroverdrive:omni_tool, Omni Tool
matteroverdrive:weapon_module_color:0, Color Module (Red)
matteroverdrive:weapon_module_color:1, Color Module (Green)
matteroverdrive:weapon_module_color:2, Color Module (Blue)
matteroverdrive:weapon_module_color:3, Color Module (Brown)
matteroverdrive:weapon_module_color:4, Color Module (Pink)
matteroverdrive:weapon_module_color:5, Color Module (Sky Blue)
matteroverdrive:weapon_module_color:6, Color Module (Gold)
matteroverdrive:weapon_module_color:7, Color Module (Lime Green)
matteroverdrive:weapon_module_color:8, Color Module (Black)
matteroverdrive:weapon_module_color:9, Color Module (Gray)
matteroverdrive:weapon_module_barrel:0, Dilithium Focusing Matrix
matteroverdrive:weapon_module_barrel:1, Incendiary Filter
matteroverdrive:weapon_module_barrel:2, Burst Inductive Drum
matteroverdrive:weapon_module_barrel:3, Regenerative Converter
matteroverdrive:weapon_module_barrel:4, Degenerative Explosive Focusing Matrix (Doomsday)
matteroverdrive:weapon_module_barrel:5, Voxel Exaggerating Nullification Obliteration Matrix (VENOM)
matteroverdrive:sniper_scope, Sniper Scope
matteroverdrive:weapon_module_ricochet:0, Shot Rebound Module
matteroverdrive:weapon_module_holo_sights:0, item.matteroverdrive.weapon_module_holo_sights.name
matteroverdrive:tritanium_wrench, Tritanium Wrench
matteroverdrive:tritanium_axe, Tritanium Axe
matteroverdrive:tritanium_pickaxe, Tritanium Pickaxe
matteroverdrive:tritanium_sword, Tritanium Sword
matteroverdrive:tritanium_hoe, Tritanium Hoe
matteroverdrive:tritanium_shovel, Tritanium Shovel
matteroverdrive:tritanium_helmet, Tritanium Helmet
matteroverdrive:tritanium_chestplate, Tritanium Chestplate
matteroverdrive:tritanium_leggings, Tritanium Leggings
matteroverdrive:tritanium_boots, Tritanium Boots
matteroverdrive:rogue_android_part:0, Android Head
matteroverdrive:rogue_android_part:1, Android Arm
matteroverdrive:rogue_android_part:2, Android Leg
matteroverdrive:rogue_android_part:3, Android Torso
matteroverdrive:rogue_android_part:0, Android Head
matteroverdrive:rogue_android_part:1, Android Arm
matteroverdrive:rogue_android_part:2, Android Leg
matteroverdrive:rogue_android_part:3, Android Torso
matteroverdrive:tritanium_spine, Tritanium Spine
matteroverdrive:matter_scanner, Matter Scanner
matteroverdrive:pattern_drive, Pattern Drive
matteroverdrive:network_flash_drive, Network Flash Drive
matteroverdrive:upgrade:0, Upgrade Shell
matteroverdrive:upgrade:1, Speed Upgrade
matteroverdrive:upgrade:2, Power Upgrade
matteroverdrive:upgrade:3, Fail-Safe Upgrade
matteroverdrive:upgrade:4, Range Upgrade
matteroverdrive:upgrade:5, Power Storage Upgrade
matteroverdrive:upgrade:6, Hyper Speed Upgrade
matteroverdrive:upgrade:7, Matter Storage Upgrade
matteroverdrive:transport_flash_drive, Transport Flash Drive
matteroverdrive:energy_pack, Energy Pack
matteroverdrive:data_pad, Data Pad
matteroverdrive:contract, Contract
matteroverdrive:portable_decomposer, Portable Decomposer
matteroverdrive:security_protocol, item.matteroverdrive.security_protocol.name
matteroverdrive:spacetime_equalizer, Space-Time Equalizer
matteroverdrive:record_transformation, Music Disc
matteroverdrive:artifact, Unknown Artifact
matteroverdrive:trilithium_crystal, Pure Trilithium Crystal
matteroverdrive:quantum_fold_manipulator, Quantum Fold Manipulator
matteroverdrive:dilithium_ore, Dilithium Ore
matteroverdrive:tritanium_ore, Tritanium Ore
matteroverdrive:tritanium_block, Tritanium Block
matteroverdrive:machine_hull, Machine Hull
